470.1108, s, 96.2, degC
470.6268, s, 96.2, degC
471.1647, s, 96.2, degC
471.6585, s, 96.2, degC
472.1743, s, 96.2, degC
472.6901, s, 96.2, degC
473.2060, s, 96.1, degC
473.7223, s, 96.1, degC
474.2377, s, 96.1, degC
474.7630, s, 96.1, degC
475.2694, s, 96.1, degC
475.7855, s, 96.2, degC
476.3013, s, 96.1, degC
476.8171, s, 96.1, degC
477.3329, s, 96.1, degC
477.8490, s, 96.1, degC
478.3648, s, 96.1, degC
478.8808, s, 96.1, degC
479.3964, s, 96.1, degC
479.9125, s, 96.1, degC
480.4286, s, 96.1, degC
480.9441, s, 96.1, degC
481.4601, s, 96.1, degC
