321.3650, s, 93.4, degC
321.8886, s, 93.4, degC
322.3968, s, 93.4, degC
322.9128, s, 93.4, degC
323.4283, s, 93.3, degC
323.9443, s, 93.3, degC
324.4603, s, 93.3, degC
324.9767, s, 93.3, degC
325.5121, s, 93.3, degC
326.0077, s, 93.2, degC
326.5241, s, 93.2, degC
327.0396, s, 93.2, degC
327.5554, s, 93.2, degC
328.0713, s, 93.1, degC
328.5871, s, 93.1, degC
329.1105, s, 93.1, degC
329.6189, s, 93.1, degC
330.1348, s, 93.1, degC
330.6506, s, 93.1, degC
331.1667, s, 93.0, degC
331.6826, s, 93.0, degC
332.1983, s, 93.0, degC
332.7141, s, 93.0, degC
333.2300, s, 92.9, degC
333.7461, s, 92.9, degC
334.2618, s, 92.8, degC
334.7779, s, 92.8, degC
335.2935, s, 92.7, degC
335.8095, s, 92.6, degC
336.3255, s, 92.7, degC
336.8413, s, 92.6, degC
337.3574, s, 92.7, degC
337.8730, s, 92.7, degC
338.4066, s, 92.7, degC
338.9047, s, 92.6, degC
339.4205, s, 92.6, degC
339.9365, s, 92.6, degC
340.4526, s, 92.5, degC
340.9681, s, 92.5, degC
341.4839, s, 92.5, degC
342.0048, s, 92.5, degC
342.5159, s, 92.5, degC
343.0319, s, 92.4, degC
343.5476, s, 92.4, degC
344.0635, s, 92.4, degC
344.5795, s, 92.3, degC
345.0951, s, 92.3, degC
345.6110, s, 92.3, degC
346.1269, s, 92.3, degC
346.6428, s, 92.3, degC
347.1586, s, 92.2, degC
347.6745, s, 92.2, degC
348.1909, s, 92.2, degC
348.7062, s, 92.2, degC
349.2222, s, 92.2, degC
349.7382, s, 92.2, degC
350.2539, s, 92.2, degC
350.7697, s, 92.2, degC
351.3009, s, 92.2, degC
351.8016, s, 92.2, degC
352.3176, s, 92.1, degC
352.8332, s, 92.1, degC
353.3493, s, 92.1, degC
353.8650, s, 92.1, degC
354.3809, s, 92.1, degC
354.8994, s, 92.1, degC
355.4127, s, 92.1, degC
355.9286, s, 92.1, degC
356.4444, s, 92.1, degC
356.9602, s, 92.1, degC
357.4760, s, 92.0, degC
357.9921, s, 92.0, degC
358.5080, s, 91.9, degC
359.0237, s, 91.9, degC
359.5396, s, 91.8, degC
360.0557, s, 91.8, degC
360.5716, s, 91.8, degC
361.0873, s, 91.8, degC
361.6029, s, 91.8, degC
362.1190, s, 91.8, degC
362.6350, s, 91.8, degC
363.1509, s, 91.8, degC
363.6669, s, 91.7, degC
364.1953, s, 91.7, degC
364.6986, s, 91.7, degC
365.2143, s, 91.7, degC
365.7304, s, 91.7, degC
366.2462, s, 91.6, degC
366.7618, s, 91.6, degC
367.2779, s, 91.6, degC
367.7938, s, 91.6, degC
368.3096, s, 91.6, degC
368.8254, s, 91.6, degC
369.3414, s, 91.5, degC
369.8571, s, 91.5, degC
370.3731, s, 91.5, degC
370.8890, s, 91.5, degC
371.4050, s, 91.5, degC
371.9206, s, 91.5, degC
372.4367, s, 91.5, degC
372.9523, s, 91.4, degC
373.4681, s, 91.4, degC
373.9844, s, 91.3, degC
374.5001, s, 91.3, degC
375.0160, s, 91.3, degC
375.5318, s, 91.3, degC
376.0477, s, 91.3, degC
376.5636, s, 91.4, degC
377.0896, s, 91.4, degC
377.5952, s, 91.4, degC
378.1112, s, 91.4, degC
378.6270, s, 91.4, degC
379.1433, s, 91.3, degC
379.6587, s, 91.3, degC
380.1745, s, 91.3, degC
380.6911, s, 91.3, degC
381.2064, s, 91.3, degC
381.7223, s, 91.3, degC
382.2380, s, 91.3, degC
382.7540, s, 91.2, degC
383.2699, s, 91.2, degC
383.7859, s, 91.2, degC
384.3015, s, 91.2, degC
384.8499, s, 91.2, degC
385.3658, s, 91.2, degC
385.8815, s, 91.1, degC
386.3975, s, 91.1, degC
386.9136, s, 91.1, degC
387.4291, s, 91.1, degC
387.9450, s, 91.0, degC
388.4608, s, 91.0, degC
388.9767, s, 91.0, degC
389.4927, s, 91.0, degC
390.0084, s, 90.9, degC
390.5249, s, 90.9, degC
391.0402, s, 90.9, degC
391.5563, s, 91.0, degC
392.0835, s, 90.9, degC
392.5878, s, 90.9, degC
393.1037, s, 90.9, degC
393.6198, s, 90.9, degC
394.1355, s, 90.8, degC
394.6513, s, 90.8, degC
395.1673, s, 90.8, degC
395.6830, s, 90.8, degC
396.1990, s, 90.8, degC
396.7148, s, 90.8, degC
397.2307, s, 90.8, degC
397.7464, s, 90.8, degC
398.2625, s, 90.8, degC
398.7783, s, 90.8, degC
399.2941, s, 90.8, degC
399.8104, s, 90.7, degC
400.3260, s, 90.7, degC
400.8419, s, 90.7, degC
401.3794, s, 90.7, degC
401.8738, s, 90.7, degC
402.3893, s, 90.7, degC
402.9054, s, 90.6, degC
403.4211, s, 90.6, degC
403.9373, s, 90.6, degC
404.4529, s, 90.5, degC
404.9779, s, 90.4, degC
405.4848, s, 90.3, degC
406.0005, s, 90.3, degC
406.5166, s, 90.3, degC
407.0326, s, 90.3, degC
407.5482, s, 90.3, degC
408.0641, s, 90.3, degC
408.5800, s, 90.3, degC
409.0959, s, 90.3, degC
409.6118, s, 90.3, degC
410.1277, s, 90.2, degC
410.6433, s, 90.2, degC
411.1593, s, 90.2, degC
411.6752, s, 90.2, degC
412.1916, s, 90.1, degC
412.7070, s, 90.1, degC
413.2228, s, 90.1, degC
413.7389, s, 90.1, degC
414.2740, s, 90.1, degC
414.7705, s, 90.1, degC
415.2863, s, 90.0, degC
415.8022, s, 90.0, degC
416.3183, s, 90.0, degC
416.8339, s, 90.0, degC
417.3498, s, 90.0, degC
417.8723, s, 90.0, degC
418.3817, s, 89.9, degC
418.8975, s, 89.9, degC
419.4131, s, 89.9, degC
419.9291, s, 89.9, degC
420.4451, s, 89.9, degC
420.9610, s, 89.8, degC
421.4770, s, 89.8, degC
421.9930, s, 89.8, degC
422.5085, s, 89.8, degC
423.0251, s, 89.7, degC
423.5403, s, 89.7, degC
424.0567, s, 89.7, degC
424.5719, s, 89.7, degC
425.0942, s, 89.7, degC
425.6039, s, 89.6, degC
426.1197, s, 89.6, degC
426.6354, s, 89.6, degC
427.1515, s, 89.6, degC
427.6672, s, 89.6, degC
428.1835, s, 89.6, degC
428.6996, s, 89.6, degC
429.2155, s, 89.6, degC
429.7309, s, 89.6, degC
430.2466, s, 89.6, degC
430.7626, s, 89.5, degC
431.2786, s, 89.5, degC
431.7949, s, 89.5, degC
432.3102, s, 89.5, degC
432.8265, s, 89.5, degC
433.3418, s, 89.4, degC
433.8581, s, 89.4, degC
434.3902, s, 89.4, degC
434.8901, s, 89.4, degC
435.4054, s, 89.4, degC
435.9212, s, 89.4, degC
436.4378, s, 89.3, degC
436.9532, s, 89.3, degC
437.4688, s, 89.3, degC
437.9888, s, 89.3, degC
438.5008, s, 89.3, degC
439.0168, s, 89.3, degC
439.5326, s, 89.3, degC
440.0482, s, 89.3, degC
440.5642, s, 89.3, degC
441.0801, s, 89.3, degC
441.5959, s, 89.3, degC
442.1118, s, 89.2, degC
442.6275, s, 89.2, degC
443.1441, s, 89.2, degC
443.6595, s, 89.2, degC
444.1752, s, 89.2, degC
444.6914, s, 89.2, degC
445.2071, s, 89.2, degC
445.7234, s, 89.1, degC
446.2388, s, 89.1, degC
446.7545, s, 89.1, degC
447.2849, s, 89.1, degC
